month,product,region,sales_amount,units_sold,sales_rep
January,Laptop,North,45000,15,Alice
January,Phone,South,32000,40,Bob
January,Tablet,East,18000,20,Carol
February,Laptop,North,52000,17,Alice
February,Phone,South,28000,35,Bob
February,Tablet,West,22000,25,Dave
March,Laptop,East,61000,20,Carol
March,Phone,North,35000,44,Alice
March,Tablet,South,19000,21,Bob
April,Laptop,West,47000,15,Dave
April,Phone,East,41000,51,Carol
April,Tablet,North,24000,27,Alice
May,Laptop,South,58000,19,Bob
May,Phone,West,38000,48,Dave
May,Tablet,East,21000,23,Carol
June,Laptop,North,63000,21,Alice
June,Phone,South,44000,55,Bob
June,Tablet,West,26000,29,Dave
